,season,md,home_team,away_team,home_goals,away_goals,year
8109,1989/1990,32,Fortuna Dusseldorf,Bayer 04 Leverkusen,2,0,1990
8110,1989/1990,32,Hamburger SV,Karlsruher SC,1,0,1990
8111,1989/1990,32,1. FC Cologne,SV Waldhof Mannheim,6,0,1990
8112,1989/1990,33,1. FC Cologne,Hamburger SV,2,0,1990
8113,1989/1990,33,FC St. Pauli,Bayer 04 Leverkusen,3,0,1990
8114,1989/1990,33,SV Werder Bremen,Bayern München,2,2,1990
8115,1989/1990,33,Borussia Dortmund,1. FC Kaiserslautern,1,1,1990
8116,1989/1990,33,1. FC Nürnberg,FC Bayer 05 Uerdingen,1,1,1990
8117,1989/1990,33,Borussia Mönchengladbach,VfB Stuttgart,3,1,1990
8118,1989/1990,33,FC 08 Homburg,VfL Bochum,1,0,1990
8119,1989/1990,33,Karlsruher SC,Eintracht Frankfurt,1,0,1990
8120,1989/1990,33,SV Waldhof Mannheim,Fortuna Dusseldorf,0,1,1990
8121,1989/1990,34,1. FC Kaiserslautern,1. FC Nürnberg,0,2,1990
8122,1989/1990,34,Bayer 04 Leverkusen,SV Werder Bremen,1,3,1990
8123,1989/1990,34,FC Bayer 05 Uerdingen,Borussia Mönchengladbach,0,0,1990
8124,1989/1990,34,Bayern München,Borussia Dortmund,3,0,1990
8125,1989/1990,34,VfL Bochum,Karlsruher SC,2,0,1990
8126,1989/1990,34,Eintracht Frankfurt,1. FC Cologne,3,1,1990
8127,1989/1990,34,Fortuna Dusseldorf,FC St. Pauli,7,0,1990
8128,1989/1990,34,VfB Stuttgart,FC 08 Homburg,2,2,1990
8129,1989/1990,34,Hamburger SV,SV Waldhof Mannheim,1,0,1990
8130,1990/1991,1,Borussia Dortmund,VfB Stuttgart,0,3,1991
8131,1990/1991,1,Hertha BSC,FC St. Pauli,1,2,1991
8132,1990/1991,1,Borussia Mönchengladbach,VfL Bochum,1,2,1991
8133,1990/1991,1,1. FC Cologne,Fortuna Dusseldorf,1,1,1991
8134,1990/1991,1,SG Wattenscheid 09,SV Werder Bremen,2,0,1991
8135,1990/1991,1,Eintracht Frankfurt,Karlsruher SC,3,0,1991
8136,1990/1991,1,Bayern München,Bayer 04 Leverkusen,1,1,1991
8137,1990/1991,1,1. FC Nürnberg,FC Bayer 05 Uerdingen,1,1,1991
8138,1990/1991,1,Hamburger SV,1. FC Kaiserslautern,1,3,1991
8139,1990/1991,2,SV Werder Bremen,Borussia Mönchengladbach,3,0,1991
8140,1990/1991,2,VfL Bochum,1. FC Cologne,1,0,1991
8141,1990/1991,2,FC Bayer 05 Uerdingen,SG Wattenscheid 09,0,2,1991
8142,1990/1991,2,Bayer 04 Leverkusen,1. FC Nürnberg,2,2,1991
8143,1990/1991,2,Karlsruher SC,Borussia Dortmund,1,2,1991
8144,1990/1991,2,Fortuna Dusseldorf,Hamburger SV,2,1,1991
8145,1990/1991,2,VfB Stuttgart,Hertha BSC,4,0,1991
8146,1990/1991,2,FC St. Pauli,Bayern München,0,0,1991
8147,1990/1991,2,1. FC Kaiserslautern,Eintracht Frankfurt,1,1,1991
8148,1990/1991,3,1. FC Cologne,SV Werder Bremen,1,0,1991
8149,1990/1991,3,FC Bayer 05 Uerdingen,Bayer 04 Leverkusen,1,1,1991
8150,1990/1991,3,Hertha BSC,Karlsruher SC,1,1,1991
8151,1990/1991,3,Bayern München,VfB Stuttgart,2,1,1991
8152,1990/1991,3,1. FC Nürnberg,FC St. Pauli,5,2,1991
8153,1990/1991,3,SG Wattenscheid 09,Borussia Mönchengladbach,1,1,1991
8154,1990/1991,3,Hamburger SV,VfL Bochum,1,0,1991
8155,1990/1991,3,Eintracht Frankfurt,Fortuna Dusseldorf,5,1,1991
8156,1990/1991,3,Borussia Dortmund,1. FC Kaiserslautern,0,2,1991
8157,1990/1991,4,VfL Bochum,Eintracht Frankfurt,0,0,1991
8158,1990/1991,4,Borussia Mönchengladbach,1. FC Cologne,2,2,1991
8159,1990/1991,4,FC St. Pauli,FC Bayer 05 Uerdingen,1,1,1991
8160,1990/1991,4,VfB Stuttgart,1. FC Nürnberg,2,1,1991
8161,1990/1991,4,Karlsruher SC,Bayern München,2,3,1991
8162,1990/1991,4,SV Werder Bremen,Hamburger SV,3,1,1991
8163,1990/1991,4,1. FC Kaiserslautern,Hertha BSC,4,3,1991
8164,1990/1991,4,Bayer 04 Leverkusen,SG Wattenscheid 09,2,1,1991
8165,1990/1991,4,Fortuna Dusseldorf,Borussia Dortmund,0,0,1991
8166,1990/1991,5,SG Wattenscheid 09,1. FC Cologne,0,3,1991
8167,1990/1991,5,Borussia Dortmund,VfL Bochum,1,0,1991
8168,1990/1991,5,Bayer 04 Leverkusen,FC St. Pauli,3,1,1991
8169,1990/1991,5,1. FC Nürnberg,Karlsruher SC,0,0,1991
8170,1990/1991,5,Hertha BSC,Fortuna Dusseldorf,0,1,1991
8171,1990/1991,5,Eintracht Frankfurt,SV Werder Bremen,0,0,1991
8172,1990/1991,5,Hamburger SV,Borussia Mönchengladbach,3,0,1991
8173,1990/1991,5,Bayern München,1. FC Kaiserslautern,4,0,1991
8174,1990/1991,5,FC Bayer 05 Uerdingen,VfB Stuttgart,2,0,1991
8175,1990/1991,6,VfL Bochum,Hertha BSC,4,2,1991
8176,1990/1991,6,Karlsruher SC,FC Bayer 05 Uerdingen,2,0,1991
8177,1990/1991,6,1. FC Kaiserslautern,1. FC Nürnberg,3,1,1991
8178,1990/1991,6,Borussia Mönchengladbach,Eintracht Frankfurt,1,1,1991
8179,1990/1991,6,VfB Stuttgart,Bayer 04 Leverkusen,0,2,1991
8180,1990/1991,6,1. FC Cologne,Hamburger SV,1,0,1991
8181,1990/1991,6,SV Werder Bremen,Borussia Dortmund,1,1,1991
8182,1990/1991,6,FC St. Pauli,SG Wattenscheid 09,1,1,1991
8183,1990/1991,6,Fortuna Dusseldorf,Bayern München,1,2,1991
8184,1990/1991,7,SG Wattenscheid 09,Hamburger SV,0,1,1991
8185,1990/1991,7,1. FC Nürnberg,Fortuna Dusseldorf,3,0,1991
8186,1990/1991,7,FC Bayer 05 Uerdingen,1. FC Kaiserslautern,3,7,1991
8187,1990/1991,7,Bayer 04 Leverkusen,Karlsruher SC,1,0,1991
8188,1990/1991,7,FC St. Pauli,VfB Stuttgart,2,2,1991
8189,1990/1991,7,Eintracht Frankfurt,1. FC Cologne,1,0,1991
8190,1990/1991,7,Borussia Dortmund,Borussia Mönchengladbach,1,1,1991
8191,1990/1991,7,Bayern München,VfL Bochum,2,2,1991
8192,1990/1991,7,Hertha BSC,SV Werder Bremen,0,0,1991
8193,1990/1991,8,Borussia Mönchengladbach,Hertha BSC,2,0,1991
8194,1990/1991,8,VfB Stuttgart,SG Wattenscheid 09,1,4,1991
8195,1990/1991,8,Hamburger SV,Eintracht Frankfurt,0,1,1991
8196,1990/1991,8,1. FC Cologne,Borussia Dortmund,0,1,1991
8197,1990/1991,8,VfL Bochum,1. FC Nürnberg,0,0,1991
8198,1990/1991,8,1. FC Kaiserslautern,Bayer 04 Leverkusen,2,1,1991
8199,1990/1991,8,Fortuna Dusseldorf,FC Bayer 05 Uerdingen,0,2,1991
8200,1990/1991,8,Karlsruher SC,FC St. Pauli,1,1,1991
8201,1990/1991,8,SV Werder Bremen,Bayern München,1,0,1991
8202,1990/1991,9,Bayer 04 Leverkusen,Fortuna Dusseldorf,1,1,1991
8203,1990/1991,9,SG Wattenscheid 09,Eintracht Frankfurt,1,0,1991
8204,1990/1991,9,FC Bayer 05 Uerdingen,VfL Bochum,4,1,1991
8205,1990/1991,9,1. FC Nürnberg,SV Werder Bremen,2,3,1991
8206,1990/1991,9,Hertha BSC,1. FC Cologne,0,0,1991
8207,1990/1991,9,Borussia Dortmund,Hamburger SV,1,1,1991
8208,1990/1991,9,VfB Stuttgart,Karlsruher SC,2,2,1991
8209,1990/1991,9,Bayern München,Borussia Mönchengladbach,4,1,1991
8210,1990/1991,9,FC St. Pauli,1. FC Kaiserslautern,1,0,1991
8211,1990/1991,10,Borussia Mönchengladbach,1. FC Nürnberg,2,0,1991
8212,1990/1991,10,Karlsruher SC,SG Wattenscheid 09,1,3,1991
8213,1990/1991,10,SV Werder Bremen,FC Bayer 05 Uerdingen,4,3,1991
8214,1990/1991,10,Fortuna Dusseldorf,FC St. Pauli,0,0,1991
8215,1990/1991,10,VfL Bochum,Bayer 04 Leverkusen,3,1,1991
8216,1990/1991,10,1. FC Kaiserslautern,VfB Stuttgart,2,0,1991
8217,1990/1991,10,Eintracht Frankfurt,Borussia Dortmund,3,1,1991
8218,1990/1991,10,1. FC Cologne,Bayern München,4,0,1991
8219,1990/1991,10,Hamburger SV,Hertha BSC,2,0,1991
8220,1990/1991,11,FC St. Pauli,VfL Bochum,3,3,1991
8221,1990/1991,11,VfB Stuttgart,Fortuna Dusseldorf,1,1,1991
8222,1990/1991,11,Karlsruher SC,1. FC Kaiserslautern,4,2,1991
8223,1990/1991,11,Hertha BSC,Eintracht Frankfurt,1,0,1991
8224,1990/1991,11,Bayern München,Hamburger SV,6,1,1991
8225,1990/1991,11,1. FC Nürnberg,1. FC Cologne,0,4,1991
8226,1990/1991,11,SG Wattenscheid 09,Borussia Dortmund,1,1,1991
8227,1990/1991,11,Bayer 04 Leverkusen,SV Werder Bremen,0,0,1991
8228,1990/1991,11,FC Bayer 05 Uerdingen,Borussia Mönchengladbach,1,1,1991
8229,1990/1991,12,VfL Bochum,VfB Stuttgart,1,1,1991
8230,1990/1991,12,Fortuna Dusseldorf,Karlsruher SC,5,2,1991
8231,1990/1991,12,1. FC Kaiserslautern,SG Wattenscheid 09,1,1,1991
8232,1990/1991,12,Borussia Dortmund,Hertha BSC,3,1,1991
8233,1990/1991,12,Eintracht Frankfurt,Bayern München,1,4,1991
8234,1990/1991,12,Hamburger SV,1. FC Nürnberg,4,0,1991
8235,1990/1991,12,1. FC Cologne,FC Bayer 05 Uerdingen,3,1,1991
8236,1990/1991,12,Borussia Mönchengladbach,Bayer 04 Leverkusen,1,1,1991
8237,1990/1991,12,SV Werder Bremen,FC St. Pauli,1,0,1991
8238,1990/1991,13,SG Wattenscheid 09,Hertha BSC,3,1,1991
8239,1990/1991,13,Bayer 04 Leverkusen,1. FC Cologne,2,0,1991
8240,1990/1991,13,1. FC Nürnberg,Eintracht Frankfurt,0,2,1991
8241,1990/1991,13,Bayern München,Borussia Dortmund,2,3,1991
8242,1990/1991,13,Karlsruher SC,VfL Bochum,3,2,1991
8243,1990/1991,13,VfB Stuttgart,SV Werder Bremen,0,1,1991
8244,1990/1991,13,FC St. Pauli,Borussia Mönchengladbach,1,1,1991
8245,1990/1991,13,FC Bayer 05 Uerdingen,Hamburger SV,0,0,1991
8246,1990/1991,13,1. FC Kaiserslautern,Fortuna Dusseldorf,0,0,1991
8247,1990/1991,14,Borussia Dortmund,1. FC Nürnberg,0,2,1991
8248,1990/1991,14,SV Werder Bremen,Karlsruher SC,2,0,1991
8249,1990/1991,14,Hertha BSC,Bayern München,0,0,1991
8250,1990/1991,14,Eintracht Frankfurt,FC Bayer 05 Uerdingen,4,0,1991
8251,1990/1991,14,Hamburger SV,Bayer 04 Leverkusen,3,1,1991
8252,1990/1991,14,Borussia Mönchengladbach,VfB Stuttgart,2,0,1991
8253,1990/1991,14,VfL Bochum,1. FC Kaiserslautern,0,2,1991
8254,1990/1991,14,Fortuna Dusseldorf,SG Wattenscheid 09,2,1,1991
8255,1990/1991,14,1. FC Cologne,FC St. Pauli,2,0,1991
8256,1990/1991,15,FC St. Pauli,Hamburger SV,0,2,1991
8257,1990/1991,15,1. FC Nürnberg,Hertha BSC,1,4,1991
8258,1990/1991,15,Bayern München,SG Wattenscheid 09,7,0,1991
8259,1990/1991,15,1. FC Kaiserslautern,SV Werder Bremen,1,0,1991
8260,1990/1991,15,Karlsruher SC,Borussia Mönchengladbach,3,2,1991
8261,1990/1991,15,VfB Stuttgart,1. FC Cologne,3,2,1991
8262,1990/1991,15,Bayer 04 Leverkusen,Eintracht Frankfurt,2,2,1991
8263,1990/1991,15,FC Bayer 05 Uerdingen,Borussia Dortmund,1,3,1991
8264,1990/1991,15,VfL Bochum,Fortuna Dusseldorf,0,0,1991
8265,1990/1991,16,1. FC Cologne,Karlsruher SC,0,0,1991
8266,1990/1991,16,Borussia Mönchengladbach,1. FC Kaiserslautern,2,2,1991
8267,1990/1991,16,SV Werder Bremen,Fortuna Dusseldorf,3,1,1991
8268,1990/1991,16,Hertha BSC,FC Bayer 05 Uerdingen,0,0,1991
8269,1990/1991,16,Eintracht Frankfurt,FC St. Pauli,1,1,1991
8270,1990/1991,16,Hamburger SV,VfB Stuttgart,2,0,1991
8271,1990/1991,16,Borussia Dortmund,Bayer 04 Leverkusen,1,1,1991
8272,1990/1991,16,Bayern München,1. FC Nürnberg,1,0,1991
8273,1990/1991,16,SG Wattenscheid 09,VfL Bochum,0,4,1991
8274,1990/1991,17,Karlsruher SC,Hamburger SV,2,2,1991
8275,1990/1991,17,FC Bayer 05 Uerdingen,Bayern München,1,1,1991
8276,1990/1991,17,1. FC Kaiserslautern,1. FC Cologne,2,2,1991
8277,1990/1991,17,1. FC Nürnberg,SG Wattenscheid 09,4,2,1991
8278,1990/1991,17,VfB Stuttgart,Eintracht Frankfurt,2,1,1991
8279,1990/1991,17,FC St. Pauli,Borussia Dortmund,0,2,1991
8280,1990/1991,17,Fortuna Dusseldorf,Borussia Mönchengladbach,4,1,1991
8281,1990/1991,17,VfL Bochum,SV Werder Bremen,1,2,1991
8282,1990/1991,17,Bayer 04 Leverkusen,Hertha BSC,3,1,1991
8283,1990/1991,18,FC St. Pauli,Hertha BSC,2,2,1991
8284,1990/1991,18,Fortuna Dusseldorf,1. FC Cologne,0,2,1991
8285,1990/1991,18,1. FC Kaiserslautern,Hamburger SV,1,0,1991
8286,1990/1991,18,VfL Bochum,Borussia Mönchengladbach,3,0,1991
8287,1990/1991,18,VfB Stuttgart,Borussia Dortmund,7,0,1991
8288,1990/1991,18,Karlsruher SC,Eintracht Frankfurt,2,2,1991
8289,1990/1991,18,SV Werder Bremen,SG Wattenscheid 09,1,1,1991
8290,1990/1991,18,Bayer 04 Leverkusen,Bayern München,1,2,1991
8291,1990/1991,18,FC Bayer 05 Uerdingen,1. FC Nürnberg,0,0,1991
8292,1990/1991,19,SG Wattenscheid 09,FC Bayer 05 Uerdingen,0,0,1991
8293,1990/1991,19,1. FC Cologne,VfL Bochum,0,0,1991
8294,1990/1991,19,1. FC Nürnberg,Bayer 04 Leverkusen,1,0,1991
8295,1990/1991,19,Bayern München,FC St. Pauli,0,1,1991
8296,1990/1991,19,Hertha BSC,VfB Stuttgart,0,2,1991
8297,1990/1991,19,Borussia Dortmund,Karlsruher SC,2,2,1991
8298,1990/1991,19,Eintracht Frankfurt,1. FC Kaiserslautern,4,3,1991
8299,1990/1991,19,Hamburger SV,Fortuna Dusseldorf,1,0,1991
8300,1990/1991,19,Borussia Mönchengladbach,SV Werder Bremen,1,1,1991
8301,1990/1991,20,Borussia Mönchengladbach,SG Wattenscheid 09,1,1,1991
8302,1990/1991,20,VfL Bochum,Hamburger SV,0,1,1991
8303,1990/1991,20,Fortuna Dusseldorf,Eintracht Frankfurt,1,0,1991
8304,1990/1991,20,1. FC Kaiserslautern,Borussia Dortmund,2,2,1991
8305,1990/1991,20,Karlsruher SC,Hertha BSC,3,0,1991
8306,1990/1991,20,VfB Stuttgart,Bayern München,0,3,1991
8307,1990/1991,20,SV Werder Bremen,1. FC Cologne,2,1,1991
8308,1990/1991,20,FC St. Pauli,1. FC Nürnberg,0,0,1991
8309,1990/1991,20,Bayer 04 Leverkusen,FC Bayer 05 Uerdingen,1,0,1991
8310,1990/1991,21,SG Wattenscheid 09,Bayer 04 Leverkusen,1,2,1991
8311,1990/1991,21,Borussia Dortmund,Fortuna Dusseldorf,1,1,1991
8312,1990/1991,21,Hertha BSC,1. FC Kaiserslautern,0,2,1991
8313,1990/1991,21,1. FC Nürnberg,VfB Stuttgart,0,1,1991
8314,1990/1991,21,FC Bayer 05 Uerdingen,FC St. Pauli,2,0,1991
8315,1990/1991,21,1. FC Cologne,Borussia Mönchengladbach,1,3,1991
8316,1990/1991,21,Eintracht Frankfurt,VfL Bochum,1,1,1991
8317,1990/1991,21,Hamburger SV,SV Werder Bremen,3,2,1991
8318,1990/1991,21,Bayern München,Karlsruher SC,3,0,1991
8319,1990/1991,22,VfB Stuttgart,FC Bayer 05 Uerdingen,3,1,1991
8320,1990/1991,22,SV Werder Bremen,Eintracht Frankfurt,1,1,1991
8321,1990/1991,22,Borussia Mönchengladbach,Hamburger SV,1,1,1991
8322,1990/1991,22,Karlsruher SC,1. FC Nürnberg,2,0,1991
8323,1990/1991,22,1. FC Kaiserslautern,Bayern München,2,1,1991
8324,1990/1991,22,Fortuna Dusseldorf,Hertha BSC,4,2,1991
8325,1990/1991,22,VfL Bochum,Borussia Dortmund,2,2,1991
8326,1990/1991,22,FC St. Pauli,Bayer 04 Leverkusen,1,0,1991
8327,1990/1991,22,1. FC Cologne,SG Wattenscheid 09,1,1,1991
8328,1990/1991,23,Borussia Dortmund,SV Werder Bremen,1,1,1991
8329,1990/1991,23,Bayer 04 Leverkusen,VfB Stuttgart,0,0,1991
8330,1990/1991,23,Eintracht Frankfurt,Borussia Mönchengladbach,5,1,1991
8331,1990/1991,23,Hamburger SV,1. FC Cologne,1,1,1991
8332,1990/1991,23,SG Wattenscheid 09,FC St. Pauli,2,2,1991
8333,1990/1991,23,Hertha BSC,VfL Bochum,2,4,1991
8334,1990/1991,23,FC Bayer 05 Uerdingen,Karlsruher SC,1,1,1991
8335,1990/1991,23,1. FC Nürnberg,1. FC Kaiserslautern,1,4,1991
8336,1990/1991,23,Bayern München,Fortuna Dusseldorf,0,1,1991
8337,1990/1991,24,Borussia Mönchengladbach,Borussia Dortmund,2,1,1991
8338,1990/1991,24,1. FC Cologne,Eintracht Frankfurt,2,1,1991
8339,1990/1991,24,Fortuna Dusseldorf,1. FC Nürnberg,3,0,1991
8340,1990/1991,24,1. FC Kaiserslautern,FC Bayer 05 Uerdingen,2,0,1991
8341,1990/1991,24,Hamburger SV,SG Wattenscheid 09,0,0,1991
8342,1990/1991,24,Karlsruher SC,Bayer 04 Leverkusen,2,0,1991
8343,1990/1991,24,SV Werder Bremen,Hertha BSC,6,0,1991
8344,1990/1991,24,VfL Bochum,Bayern München,1,2,1991
8345,1990/1991,24,VfB Stuttgart,FC St. Pauli,2,1,1991
8346,1990/1991,25,FC St. Pauli,Karlsruher SC,2,0,1991
8347,1990/1991,25,Hertha BSC,Borussia Mönchengladbach,1,1,1991
8348,1990/1991,25,1. FC Nürnberg,VfL Bochum,3,2,1991
8349,1990/1991,25,Borussia Dortmund,1. FC Cologne,1,2,1991
8350,1990/1991,25,Eintracht Frankfurt,Hamburger SV,0,6,1991
8351,1990/1991,25,Bayer 04 Leverkusen,1. FC Kaiserslautern,2,2,1991
8352,1990/1991,25,FC Bayer 05 Uerdingen,Fortuna Dusseldorf,1,2,1991
8353,1990/1991,25,Bayern München,SV Werder Bremen,1,1,1991
8354,1990/1991,25,SG Wattenscheid 09,VfB Stuttgart,2,2,1991
8355,1990/1991,26,Fortuna Dusseldorf,Bayer 04 Leverkusen,0,2,1991
8356,1990/1991,26,Borussia Mönchengladbach,Bayern München,1,1,1991
8357,1990/1991,26,Karlsruher SC,VfB Stuttgart,0,0,1991
8358,1990/1991,26,VfL Bochum,FC Bayer 05 Uerdingen,0,2,1991
8359,1990/1991,26,Eintracht Frankfurt,SG Wattenscheid 09,4,0,1991
8360,1990/1991,26,SV Werder Bremen,1. FC Nürnberg,0,0,1991
8361,1990/1991,26,1. FC Cologne,Hertha BSC,2,1,1991
8362,1990/1991,26,Hamburger SV,Borussia Dortmund,4,0,1991
8363,1990/1991,26,1. FC Kaiserslautern,FC St. Pauli,1,0,1991
8364,1990/1991,27,FC St. Pauli,Fortuna Dusseldorf,2,3,1991
8365,1990/1991,27,SG Wattenscheid 09,Karlsruher SC,1,1,1991
8366,1990/1991,27,FC Bayer 05 Uerdingen,SV Werder Bremen,0,0,1991
8367,1990/1991,27,VfB Stuttgart,1. FC Kaiserslautern,2,2,1991
8368,1990/1991,27,Borussia Dortmund,Eintracht Frankfurt,0,3,1991
8369,1990/1991,27,Bayern München,1. FC Cologne,2,2,1991
8370,1990/1991,27,1. FC Nürnberg,Borussia Mönchengladbach,2,2,1991
8371,1990/1991,27,Bayer 04 Leverkusen,VfL Bochum,4,2,1991
8372,1990/1991,27,Hertha BSC,Hamburger SV,1,4,1991
8373,1990/1991,28,Hamburger SV,Bayern München,2,3,1991
8374,1990/1991,28,Borussia Dortmund,SG Wattenscheid 09,2,2,1991
8375,1990/1991,28,SV Werder Bremen,Bayer 04 Leverkusen,1,1,1991
8376,1990/1991,28,Fortuna Dusseldorf,VfB Stuttgart,0,4,1991
8377,1990/1991,28,Borussia Mönchengladbach,FC Bayer 05 Uerdingen,1,1,1991
8378,1990/1991,28,1. FC Cologne,1. FC Nürnberg,3,1,1991
8379,1990/1991,28,VfL Bochum,FC St. Pauli,3,0,1991
8380,1990/1991,28,1. FC Kaiserslautern,Karlsruher SC,3,2,1991
8381,1990/1991,28,Eintracht Frankfurt,Hertha BSC,5,1,1991
8382,1990/1991,29,VfB Stuttgart,VfL Bochum,2,2,1991
8383,1990/1991,29,FC Bayer 05 Uerdingen,1. FC Cologne,0,3,1991
8384,1990/1991,29,1. FC Nürnberg,Hamburger SV,3,1,1991
8385,1990/1991,29,Bayern München,Eintracht Frankfurt,2,0,1991
8386,1990/1991,29,Hertha BSC,Borussia Dortmund,2,2,1991
8387,1990/1991,29,SG Wattenscheid 09,1. FC Kaiserslautern,0,0,1991
8388,1990/1991,29,FC St. Pauli,SV Werder Bremen,0,0,1991
8389,1990/1991,29,Bayer 04 Leverkusen,Borussia Mönchengladbach,2,5,1991
8390,1990/1991,29,Karlsruher SC,Fortuna Dusseldorf,1,1,1991
8391,1990/1991,30,Fortuna Dusseldorf,1. FC Kaiserslautern,0,0,1991
8392,1990/1991,30,Hertha BSC,SG Wattenscheid 09,2,3,1991
8393,1990/1991,30,Hamburger SV,FC Bayer 05 Uerdingen,2,0,1991
8394,1990/1991,30,1. FC Cologne,Bayer 04 Leverkusen,1,1,1991
8395,1990/1991,30,Borussia Mönchengladbach,FC St. Pauli,1,1,1991
8396,1990/1991,30,VfL Bochum,Karlsruher SC,0,1,1991
8397,1990/1991,30,SV Werder Bremen,VfB Stuttgart,0,1,1991
8398,1990/1991,30,Eintracht Frankfurt,1. FC Nürnberg,0,1,1991
8399,1990/1991,30,Borussia Dortmund,Bayern München,2,3,1991
8400,1990/1991,31,1. FC Nürnberg,Borussia Dortmund,1,1,1991
8401,1990/1991,31,FC Bayer 05 Uerdingen,Eintracht Frankfurt,2,3,1991
8402,1990/1991,31,FC St. Pauli,1. FC Cologne,2,0,1991
8403,1990/1991,31,Bayer 04 Leverkusen,Hamburger SV,2,2,1991
8404,1990/1991,31,Bayern München,Hertha BSC,7,3,1991
8405,1990/1991,31,SG Wattenscheid 09,Fortuna Dusseldorf,2,0,1991
8406,1990/1991,31,Karlsruher SC,SV Werder Bremen,1,1,1991
8407,1990/1991,31,1. FC Kaiserslautern,VfL Bochum,4,1,1991
8408,1990/1991,31,VfB Stuttgart,Borussia Mönchengladbach,1,1,1991
8409,1990/1991,32,Hertha BSC,1. FC Nürnberg,2,4,1991
8410,1990/1991,32,Eintracht Frankfurt,Bayer 04 Leverkusen,3,1,1991
8411,1990/1991,32,Borussia Dortmund,FC Bayer 05 Uerdingen,1,0,1991
8412,1990/1991,32,Fortuna Dusseldorf,VfL Bochum,3,4,1991
8413,1990/1991,32,SV Werder Bremen,1. FC Kaiserslautern,1,2,1991
8414,1990/1991,32,Hamburger SV,FC St. Pauli,5,0,1991
8415,1990/1991,32,Borussia Mönchengladbach,Karlsruher SC,2,1,1991
8416,1990/1991,32,1. FC Cologne,VfB Stuttgart,1,6,1991
8417,1990/1991,32,SG Wattenscheid 09,Bayern München,3,2,1991
8418,1990/1991,33,Fortuna Dusseldorf,SV Werder Bremen,1,2,1991
8419,1990/1991,33,1. FC Nürnberg,Bayern München,0,1,1991
8420,1990/1991,33,FC Bayer 05 Uerdingen,Hertha BSC,1,2,1991
8421,1990/1991,33,Bayer 04 Leverkusen,Borussia Dortmund,1,2,1991
8422,1990/1991,33,FC St. Pauli,Eintracht Frankfurt,1,1,1991
8423,1990/1991,33,VfB Stuttgart,Hamburger SV,2,0,1991
8424,1990/1991,33,Karlsruher SC,1. FC Cologne,1,1,1991
8425,1990/1991,33,1. FC Kaiserslautern,Borussia Mönchengladbach,2,3,1991
8426,1990/1991,33,VfL Bochum,SG Wattenscheid 09,0,0,1991
8427,1990/1991,34,Borussia Dortmund,FC St. Pauli,5,2,1991
8428,1990/1991,34,Hertha BSC,Bayer 04 Leverkusen,1,2,1991
8429,1990/1991,34,Eintracht Frankfurt,VfB Stuttgart,4,0,1991
8430,1990/1991,34,SV Werder Bremen,VfL Bochum,2,1,1991
8431,1990/1991,34,1. FC Cologne,1. FC Kaiserslautern,2,6,1991
8432,1990/1991,34,Borussia Mönchengladbach,Fortuna Dusseldorf,2,0,1991
8433,1990/1991,34,SG Wattenscheid 09,1. FC Nürnberg,0,1,1991
8434,1990/1991,34,Hamburger SV,Karlsruher SC,2,2,1991
8435,1990/1991,34,Bayern München,FC Bayer 05 Uerdingen,2,2,1991
8436,1991/1992,1,Stuttgarter Kickers,SG Wattenscheid 09,3,0,1992
8437,1991/1992,1,SV Werder Bremen,Bayern München,1,1,1992
8438,1991/1992,1,Hansa Rostock,1. FC Nürnberg,4,0,1992
8439,1991/1992,1,Fortuna Dusseldorf,Eintracht Frankfurt,1,2,1992
8440,1991/1992,1,FC Schalke 04,Hamburger SV,0,0,1992
8441,1991/1992,1,1. FC Dynamo Dresden,1. FC Kaiserslautern,0,1,1992
8442,1991/1992,1,Bayer 04 Leverkusen,Borussia Mönchengladbach,1,0,1992
8443,1991/1992,1,VfL Bochum,1. FC Cologne,2,2,1992
8444,1991/1992,1,MSV Duisburg,VfB Stuttgart,1,0,1992
8445,1991/1992,1,Karlsruher SC,Borussia Dortmund,2,2,1992
8446,1991/1992,2,VfB Stuttgart,Karlsruher SC,1,0,1992
8447,1991/1992,2,SG Wattenscheid 09,Bayer 04 Leverkusen,3,0,1992
8448,1991/1992,2,Borussia Mönchengladbach,MSV Duisburg,0,0,1992
8449,1991/1992,2,Eintracht Frankfurt,FC Schalke 04,5,0,1992
8450,1991/1992,2,Borussia Dortmund,SV Werder Bremen,2,1,1992
8451,1991/1992,2,Bayern München,Hansa Rostock,1,2,1992
8452,1991/1992,2,1. FC Nürnberg,Fortuna Dusseldorf,3,1,1992
8453,1991/1992,2,Hamburger SV,1. FC Dynamo Dresden,2,0,1992
8454,1991/1992,2,1. FC Kaiserslautern,VfL Bochum,1,1,1992
8455,1991/1992,2,1. FC Cologne,Stuttgarter Kickers,0,0,1992
8456,1991/1992,3,1. FC Dynamo Dresden,Eintracht Frankfurt,2,1,1992
8457,1991/1992,3,Stuttgarter Kickers,Bayer 04 Leverkusen,0,1,1992
8458,1991/1992,3,1. FC Cologne,1. FC Kaiserslautern,1,1,1992
8459,1991/1992,3,SV Werder Bremen,VfB Stuttgart,1,1,1992
8460,1991/1992,3,VfL Bochum,Hamburger SV,2,3,1992
8461,1991/1992,3,Hansa Rostock,Borussia Dortmund,5,1,1992
8462,1991/1992,3,Fortuna Dusseldorf,Bayern München,0,1,1992
8463,1991/1992,3,FC Schalke 04,1. FC Nürnberg,1,0,1992
8464,1991/1992,3,Karlsruher SC,Borussia Mönchengladbach,2,0,1992
